user,accepted,out_time,rank,failed
LuizAndia,0,0,,13
andregoncalves,2,0,,11
FelipeEmos,0,0,,13
ggavena,0,7,,6
wmartins,0,1,,12
FerParedes,0,2,,11
dominguilherme,3,0,,10
guilhermehhs,0,4,,9
anarequena,0,2,,11
b164923,2,1,,10
<insira username vjudge aqui>,0,0,,0
krautz,3,0,,10
AnaClaraZS,4,3,TERCEIRO,6
<insira username vjudge aqui>,0,0,,0
brunoaf,0,2,,11
guilhermetiaki,2,0,,11
danieloliveira,0,3,,10
hboschirolli,0,0,,13
<insira username vjudge aqui>,0,0,,0
ericoimf,0,4,,9
Leandroafm21,3,0,,10
gfrancioli,0,2,,11
gabrielmsato,0,0,,13
<insira username vjudge aqui>,0,0,,0
giocoutinho26,2,1,,10
mihmosa,2,0,,11
luizguilherme,2,0,,11
Gustavo_Salibi,0,6,,7
natrodrigues,2,0,,11
joaopm,4,0,,9
<insira username vjudge aqui>,0,0,,0
victormaruca,2,1,,10
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
MarcoAurelio,0,8,,5
<insira username vjudge aqui>,0,0,,0
mjoaquim,3,0,,10
barney_san,4,0,SEGUNDO,9
turing_burro,2,0,,11
tiagodepalves,2,5,,6
<insira username vjudge aqui>,0,0,,0
VitoriaDMP,2,4,,7
<insira username vjudge aqui>,0,0,,0
erickkn,0,2,,11
gabrielsantosrv,0,4,,9
<insira username vjudge aqui>,0,0,,0
VBS,3,0,,10
joaoguilhermeas,2,3,,8
JoaoFlores,0,3,,10
lumagabinov,3,1,,9
maviles,3,0,,10
Pupo,3,0,,10
pedromorelli96,3,0,,10
vitormosso,2,0,,11
Fatayer,3,1,,9
AlvaroMarques,0,1,,12
beatrizazanha,2,1,,10
Fingerman,3,2,,8
Ieremies,4,0,PRIMEIRO,9
Zanez,2,1,,10
<insira username vjudge aqui>,0,0,,0
luizgustavo09,0,6,,7
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
