user,accepted,out_time,rank,failed
LuizAndia,0,0,,12
andregoncalves,0,0,,12
FelipeEmos,0,5,,7
ggavena,0,0,,12
wmartins,0,0,,12
FerParedes,0,2,,10
dominguilherme,0,0,,12
guilhermehhs,0,4,,8
anarequena,0,0,,12
b164923,0,0,,12
<insira username vjudge aqui>,0,0,,0
krautz,0,0,,12
AnaClaraZS,7,0,SEGUNDO,5
<insira username vjudge aqui>,0,0,,0
brunoaf,0,0,,12
guilhermetiaki,0,5,,7
danieloliveira,0,4,,8
hboschirolli,0,0,,12
<insira username vjudge aqui>,0,0,,0
ericoimf,0,4,,8
Leandroafm21,0,0,,12
gfrancioli,1,0,,11
gabrielmsato,0,0,,12
<insira username vjudge aqui>,0,0,,0
giocoutinho26,0,0,,12
mihmosa,0,0,,12
luizguilherme,2,0,,10
Gustavo_Salibi,5,0,,7
natrodrigues,0,0,,12
joaopm,0,0,,12
<insira username vjudge aqui>,0,0,,0
victormaruca,0,0,,12
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
MarcoAurelio,5,1,,6
<insira username vjudge aqui>,0,0,,0
mjoaquim,0,0,,12
barney_san,0,0,,12
turing_burro,0,0,,12
tiagodepalves,0,5,,7
<insira username vjudge aqui>,0,0,,0
VitoriaDMP,4,0,,8
<insira username vjudge aqui>,0,0,,0
erickkn,0,0,,12
gabrielsantosrv,0,0,,12
<insira username vjudge aqui>,0,0,,0
VBS,0,0,,12
joaoguilhermeas,7,0,TERCEIRO,5
JoaoFlores,0,2,,10
lumagabinov,0,0,,12
maviles,0,0,,12
Pupo,0,0,,12
pedromorelli96,0,0,,12
vitormosso,0,0,,12
Fatayer,3,0,,9
AlvaroMarques,0,5,,7
beatrizazanha,0,0,,12
Fingerman,0,0,,12
Ieremies,5,0,,7
Zanez,8,0,PRIMEIRO,4
<insira username vjudge aqui>,0,0,,0
luizgustavo09,5,0,,7
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
