user,accepted,out_time,rank,failed
LuizAndia,2,0,,10
andregoncalves,2,0,,10
FelipeEmos,4,0,,8
ggavena,0,8,,4
wmartins,4,0,,8
FerParedes,1,3,,8
dominguilherme,2,1,,9
guilhermehhs,0,2,,10
anarequena,2,0,,10
b164923,1,1,,10
<insira username vjudge aqui>,0,0,,0
krautz,5,0,,7
AnaClaraZS,4,1,,7
<insira username vjudge aqui>,0,0,,0
brunoaf,0,0,,12
guilhermetiaki,4,0,,8
danieloliveira,3,0,,9
hboschirolli,6,2,TERCEIRO,4
<insira username vjudge aqui>,0,0,,0
ericoimf,0,2,,10
Leandroafm21,3,0,,9
gfrancioli,1,1,,10
gabrielmsato,1,1,,10
<insira username vjudge aqui>,0,0,,0
giocoutinho26,2,1,,9
mihmosa,1,0,,11
luizguilherme,1,0,,11
Gustavo_Salibi,2,6,,4
natrodrigues,2,0,,10
joaopm,2,3,,7
<insira username vjudge aqui>,0,0,,0
victormaruca,0,4,,8
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
MarcoAurelio,1,8,,3
<insira username vjudge aqui>,0,0,,0
mjoaquim,2,0,,10
barney_san,2,0,,10
turing_burro,1,1,,10
tiagodepalves,4,5,,3
<insira username vjudge aqui>,0,0,,0
VitoriaDMP,3,5,,4
<insira username vjudge aqui>,0,0,,0
erickkn,1,3,,8
gabrielsantosrv,3,3,,6
<insira username vjudge aqui>,0,0,,0
VBS,3,0,,9
joaoguilhermeas,3,4,,5
JoaoFlores,1,2,,9
lumagabinov,2,4,,6
maviles,4,0,,8
Pupo,5,0,,7
pedromorelli96,4,0,,8
vitormosso,2,0,,10
Fatayer,6,1,,5
AlvaroMarques,4,0,,8
beatrizazanha,3,0,,9
Fingerman,6,0,,6
Ieremies,8,0,PRIMEIRO,4
Zanez,4,2,,6
<insira username vjudge aqui>,0,0,,0
luizgustavo09,7,1,SEGUNDO,4
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
