user,accepted,out_time,rank,failed
LuizAndia,5,0,SEGUNDO,7
andregoncalves,1,0,,11
FelipeEmos,1,1,,10
ggavena,1,0,,11
wmartins,4,0,,8
FerParedes,0,1,,11
dominguilherme,5,0,,7
guilhermehhs,0,1,,11
anarequena,3,0,,9
b164923,4,0,,8
<insira username vjudge aqui>,0,0,,0
krautz,3,0,,9
AnaClaraZS,3,0,,9
<insira username vjudge aqui>,0,0,,0
brunoaf,0,0,,12
guilhermetiaki,4,0,,8
danieloliveira,2,1,,9
hboschirolli,3,0,,9
<insira username vjudge aqui>,0,0,,0
ericoimf,0,3,,9
Leandroafm21,3,0,,9
gfrancioli,3,0,,9
gabrielmsato,4,0,,8
<insira username vjudge aqui>,0,0,,0
giocoutinho26,2,0,,10
mihmosa,4,0,,8
luizguilherme,3,0,,9
Gustavo_Salibi,5,0,,7
natrodrigues,5,0,,7
joaopm,4,0,,8
<insira username vjudge aqui>,0,0,,0
victormaruca,3,1,,8
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
MarcoAurelio,4,3,,5
<insira username vjudge aqui>,0,0,,0
mjoaquim,4,0,,8
barney_san,4,0,,8
turing_burro,3,0,,9
tiagodepalves,0,0,,12
<insira username vjudge aqui>,0,0,,0
VitoriaDMP,3,1,,8
<insira username vjudge aqui>,0,0,,0
erickkn,2,0,,10
gabrielsantosrv,4,0,,8
<insira username vjudge aqui>,0,0,,0
VBS,3,0,,9
joaoguilhermeas,3,0,,9
JoaoFlores,4,0,,8
lumagabinov,4,0,,8
maviles,5,0,TERCEIRO,7
Pupo,3,0,,9
pedromorelli96,3,0,,9
vitormosso,3,0,,9
Fatayer,5,0,,7
AlvaroMarques,0,0,,12
beatrizazanha,3,0,,9
Fingerman,0,0,,12
Ieremies,5,0,,7
Zanez,3,0,,9
<insira username vjudge aqui>,0,0,,0
luizgustavo09,6,0,PRIMEIRO,6
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
