user,accepted,out_time,rank,failed
LuizAndia,0,0,,12
andregoncalves,0,0,,12
FelipeEmos,0,2,,10
ggavena,0,0,,12
wmartins,0,0,,12
FerParedes,0,3,,9
dominguilherme,2,0,,10
guilhermehhs,0,2,,10
anarequena,1,0,,11
b164923,0,0,,12
<insira username vjudge aqui>,0,0,,0
krautz,0,1,,11
AnaClaraZS,0,2,,10
<insira username vjudge aqui>,0,0,,0
brunoaf,0,0,,12
guilhermetiaki,2,4,,6
danieloliveira,0,0,,12
hboschirolli,0,0,,12
<insira username vjudge aqui>,0,0,,0
ericoimf,0,3,,9
Leandroafm21,0,2,,10
gfrancioli,2,1,,9
gabrielmsato,1,0,,11
<insira username vjudge aqui>,0,0,,0
giocoutinho26,2,0,,10
mihmosa,1,2,,9
luizguilherme,0,0,,12
Gustavo_Salibi,3,0,PRIMEIRO,9
natrodrigues,0,3,,9
joaopm,3,0,SEGUNDO,9
<insira username vjudge aqui>,0,0,,0
victormaruca,0,0,,12
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
MarcoAurelio,0,5,,7
<insira username vjudge aqui>,0,0,,0
mjoaquim,2,0,,10
barney_san,0,0,,12
turing_burro,0,3,,9
tiagodepalves,0,1,,11
<insira username vjudge aqui>,0,0,,0
VitoriaDMP,1,2,,9
<insira username vjudge aqui>,0,0,,0
erickkn,0,0,,12
gabrielsantosrv,0,0,,12
<insira username vjudge aqui>,0,0,,0
VBS,0,0,,12
joaoguilhermeas,2,0,,10
JoaoFlores,2,0,,10
lumagabinov,0,3,,9
maviles,0,0,,12
Pupo,1,0,,11
pedromorelli96,0,0,,12
vitormosso,0,0,,12
Fatayer,3,0,TERCEIRO,9
AlvaroMarques,0,0,,12
beatrizazanha,0,0,,12
Fingerman,0,0,,12
Ieremies,2,0,,10
Zanez,2,0,,10
<insira username vjudge aqui>,0,0,,0
luizgustavo09,1,2,,9
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
