user,accepted,out_time,rank,failed
LuizAndia,4,0,,7
andregoncalves,4,0,,7
FelipeEmos,2,0,,9
ggavena,4,1,,6
wmartins,4,0,,7
FerParedes,1,0,,10
dominguilherme,2,0,,9
guilhermehhs,0,3,,8
anarequena,0,2,,9
b164923,4,0,,7
<insira username vjudge aqui>,0,0,,0
krautz,4,0,,7
AnaClaraZS,5,0,,6
<insira username vjudge aqui>,0,0,,0
brunoaf,1,2,,8
guilhermetiaki,4,0,,7
danieloliveira,2,0,,9
hboschirolli,4,0,,7
<insira username vjudge aqui>,0,0,,0
ericoimf,0,0,,11
Leandroafm21,4,0,,7
gfrancioli,4,0,,7
gabrielmsato,1,0,,10
<insira username vjudge aqui>,0,0,,0
giocoutinho26,2,0,,9
mihmosa,3,0,,8
luizguilherme,3,0,,8
Gustavo_Salibi,5,0,,6
natrodrigues,0,4,,7
joaopm,5,0,,6
<insira username vjudge aqui>,0,0,,0
victormaruca,0,1,,10
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
MarcoAurelio,0,5,,6
<insira username vjudge aqui>,0,0,,0
mjoaquim,3,0,,8
barney_san,4,0,,7
turing_burro,4,0,,7
tiagodepalves,5,1,,5
<insira username vjudge aqui>,0,0,,0
VitoriaDMP,3,1,,7
<insira username vjudge aqui>,0,0,,0
erickkn,4,0,,7
gabrielsantosrv,5,0,,6
<insira username vjudge aqui>,0,0,,0
VBS,5,0,,6
joaoguilhermeas,4,0,,7
JoaoFlores,0,4,,7
lumagabinov,4,0,,7
maviles,4,0,,7
Pupo,4,0,,7
pedromorelli96,4,0,,7
vitormosso,4,0,,7
Fatayer,5,0,TERCEIRO,6
AlvaroMarques,5,0,,6
beatrizazanha,4,0,,7
Fingerman,5,0,,6
Ieremies,6,0,PRIMEIRO,5
Zanez,4,0,,7
<insira username vjudge aqui>,0,0,,0
luizgustavo09,5,0,SEGUNDO,6
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
