user,accepted,out_time,rank,failed
LuizAndia,0,0,,12
andregoncalves,1,0,,11
FelipeEmos,2,0,,10
ggavena,3,0,,9
wmartins,4,0,,8
FerParedes,0,4,,8
dominguilherme,2,0,,10
guilhermehhs,0,1,,11
anarequena,1,0,,11
b164923,4,0,,8
<insira username vjudge aqui>,0,0,,0
krautz,3,0,,9
AnaClaraZS,1,0,,11
<insira username vjudge aqui>,0,0,,0
brunoaf,0,0,,12
guilhermetiaki,4,0,,8
danieloliveira,0,1,,11
hboschirolli,2,0,,10
<insira username vjudge aqui>,0,0,,0
ericoimf,0,2,,10
Leandroafm21,4,0,,8
gfrancioli,3,0,,9
gabrielmsato,2,0,,10
<insira username vjudge aqui>,0,0,,0
giocoutinho26,2,0,,10
mihmosa,4,0,,8
luizguilherme,4,0,,8
Gustavo_Salibi,6,0,PRIMEIRO,6
natrodrigues,2,0,,10
joaopm,5,0,,7
<insira username vjudge aqui>,0,0,,0
victormaruca,0,2,,10
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
MarcoAurelio,3,3,,6
<insira username vjudge aqui>,0,0,,0
mjoaquim,3,0,,9
barney_san,2,0,,10
turing_burro,0,1,,11
tiagodepalves,0,3,,9
<insira username vjudge aqui>,0,0,,0
VitoriaDMP,3,1,,8
<insira username vjudge aqui>,0,0,,0
erickkn,3,0,,9
gabrielsantosrv,4,0,,8
<insira username vjudge aqui>,0,0,,0
VBS,2,0,,10
joaoguilhermeas,4,0,,8
JoaoFlores,5,0,TERCEIRO,7
lumagabinov,4,0,,8
maviles,0,0,,12
Pupo,0,0,,12
pedromorelli96,0,0,,12
vitormosso,3,0,,9
Fatayer,3,1,,8
AlvaroMarques,0,0,,12
beatrizazanha,0,0,,12
Fingerman,4,0,,8
Ieremies,6,0,SEGUNDO,6
Zanez,0,0,,12
<insira username vjudge aqui>,0,0,,0
luizgustavo09,2,2,,8
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
