user,accepted,out_time,rank,failed
LuizAndia,0,0,,12
andregoncalves,2,0,,10
FelipeEmos,0,2,,10
ggavena,1,0,,11
wmartins,0,0,,12
FerParedes,0,0,,12
dominguilherme,2,0,,10
guilhermehhs,1,0,,11
anarequena,0,0,,12
b164923,3,0,,9
<insira username vjudge aqui>,0,0,,0
krautz,0,0,,12
AnaClaraZS,2,0,,10
<insira username vjudge aqui>,0,0,,0
brunoaf,0,0,,12
guilhermetiaki,3,0,,9
danieloliveira,0,3,,9
hboschirolli,0,0,,12
<insira username vjudge aqui>,0,0,,0
ericoimf,1,0,,11
Leandroafm21,0,0,,12
gfrancioli,2,0,,10
gabrielmsato,3,0,,9
<insira username vjudge aqui>,0,0,,0
giocoutinho26,0,0,,12
mihmosa,3,0,TERCEIRO,9
luizguilherme,0,0,,12
Gustavo_Salibi,4,1,SEGUNDO,7
natrodrigues,0,4,,8
joaopm,0,0,,12
<insira username vjudge aqui>,0,0,,0
victormaruca,2,0,,10
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
MarcoAurelio,2,4,,6
<insira username vjudge aqui>,0,0,,0
mjoaquim,3,0,,9
barney_san,4,0,PRIMEIRO,8
turing_burro,0,0,,12
tiagodepalves,0,0,,12
<insira username vjudge aqui>,0,0,,0
VitoriaDMP,2,2,,8
<insira username vjudge aqui>,0,0,,0
erickkn,0,0,,12
gabrielsantosrv,2,0,,10
<insira username vjudge aqui>,0,0,,0
VBS,0,0,,12
joaoguilhermeas,2,1,,9
JoaoFlores,0,0,,12
lumagabinov,1,0,,11
maviles,0,0,,12
Pupo,2,0,,10
pedromorelli96,0,0,,12
vitormosso,0,0,,12
Fatayer,3,0,,9
AlvaroMarques,3,0,,9
beatrizazanha,1,0,,11
Fingerman,0,0,,12
Ieremies,3,0,,9
Zanez,0,0,,12
<insira username vjudge aqui>,0,0,,0
luizgustavo09,2,2,,8
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
