user,accepted,out_time,rank,failed
LuizAndia,0,0,,12
andregoncalves,0,0,,12
FelipeEmos,2,0,,10
ggavena,1,0,,11
wmartins,0,0,,12
FerParedes,2,0,,10
dominguilherme,1,0,,11
guilhermehhs,0,1,,11
anarequena,0,0,,12
b164923,2,0,,10
<insira username vjudge aqui>,0,0,,0
krautz,3,0,,9
AnaClaraZS,0,0,,12
<insira username vjudge aqui>,0,0,,0
brunoaf,0,0,,12
guilhermetiaki,0,0,,12
danieloliveira,0,0,,12
hboschirolli,0,0,,12
<insira username vjudge aqui>,0,0,,0
ericoimf,0,0,,12
Leandroafm21,0,0,,12
gfrancioli,0,0,,12
gabrielmsato,0,0,,12
<insira username vjudge aqui>,0,0,,0
giocoutinho26,1,0,,11
mihmosa,1,0,,11
luizguilherme,0,0,,12
Gustavo_Salibi,3,0,,9
natrodrigues,0,0,,12
joaopm,0,0,,12
<insira username vjudge aqui>,0,0,,0
victormaruca,0,0,,12
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
MarcoAurelio,3,3,,6
<insira username vjudge aqui>,0,0,,0
mjoaquim,1,0,,11
barney_san,3,0,,9
turing_burro,3,0,,9
tiagodepalves,0,0,,12
<insira username vjudge aqui>,0,0,,0
VitoriaDMP,0,0,,12
<insira username vjudge aqui>,0,0,,0
erickkn,0,0,,12
gabrielsantosrv,4,0,TERCEIRO,8
<insira username vjudge aqui>,0,0,,0
VBS,2,0,,10
joaoguilhermeas,3,0,,9
JoaoFlores,3,0,,9
lumagabinov,0,0,,12
maviles,0,0,,12
Pupo,3,0,,9
pedromorelli96,4,0,SEGUNDO,8
vitormosso,0,0,,12
Fatayer,0,0,,12
AlvaroMarques,0,0,,12
beatrizazanha,2,0,,10
Fingerman,3,0,,9
Ieremies,2,0,,10
Zanez,0,0,,12
<insira username vjudge aqui>,0,0,,0
luizgustavo09,4,0,PRIMEIRO,8
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
