user,accepted,out_time,rank,failed
LuizAndia,0,0,,13
andregoncalves,1,0,,12
FelipeEmos,7,0,,6
ggavena,0,0,,13
wmartins,2,0,,11
FerParedes,4,1,,8
dominguilherme,0,0,,13
guilhermehhs,0,8,,5
anarequena,6,0,,7
b164923,3,0,,10
<insira username vjudge aqui>,0,0,,0
krautz,0,0,,13
AnaClaraZS,2,3,,8
<insira username vjudge aqui>,0,0,,0
brunoaf,0,0,,13
guilhermetiaki,7,1,,5
danieloliveira,0,0,,13
hboschirolli,0,0,,13
<insira username vjudge aqui>,0,0,,0
ericoimf,0,6,,7
Leandroafm21,4,0,,9
gfrancioli,0,0,,13
gabrielmsato,0,0,,13
<insira username vjudge aqui>,0,0,,0
giocoutinho26,5,0,,8
mihmosa,0,0,,13
luizguilherme,0,0,,13
Gustavo_Salibi,8,0,SEGUNDO,5
natrodrigues,0,0,,13
joaopm,0,0,,13
<insira username vjudge aqui>,0,0,,0
victormaruca,0,0,,13
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
MarcoAurelio,0,1,,12
<insira username vjudge aqui>,0,0,,0
mjoaquim,5,0,,8
barney_san,7,0,,6
turing_burro,0,0,,13
tiagodepalves,0,5,,8
<insira username vjudge aqui>,0,0,,0
VitoriaDMP,7,1,,5
<insira username vjudge aqui>,0,0,,0
erickkn,0,0,,13
gabrielsantosrv,5,0,,8
<insira username vjudge aqui>,0,0,,0
VBS,0,0,,13
joaoguilhermeas,7,0,TERCEIRO,6
JoaoFlores,1,3,,9
lumagabinov,0,0,,13
maviles,0,0,,13
Pupo,6,0,,7
pedromorelli96,3,0,,10
vitormosso,0,0,,13
Fatayer,6,0,,7
AlvaroMarques,0,0,,13
beatrizazanha,0,0,,13
Fingerman,7,0,,6
Ieremies,2,0,,11
Zanez,0,0,,13
<insira username vjudge aqui>,0,0,,0
luizgustavo09,9,0,PRIMEIRO,4
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
<insira username vjudge aqui>,0,0,,0
