user,accepteds,failed,rank
LuizAndia,4,1,24
andregoncalves,4,1,25
FelipeEmos,3,0,35
wmartins,7,0,1
dominguilherme,4,0,30
guilhermehhs,3,0,33
anarequena,6,0,6
b164923,3,0,37
krautz,5,0,10
AnaClaraZS,6,0,8
brunoaf,2,1,44
guilhermetiaki,3,0,36
danieloliveira,1,0,45
hboschirolli,5,0,12
Leandroafm21,5,0,11
gfrancioli,2,1,43
gabrielmsato,3,0,39
giocoutinho26,2,0,41
mihmosa,5,0,14
luizguilherme,5,0,19
Gustavo_Salibi,6,1,7
natrodrigues,5,0,17
joaopm,3,1,38
victormaruca,4,2,27
MarcoAurelio,2,1,40
mjoaquim,4,0,32
barney_san,3,0,34
turing_burro,5,0,13
tiagodepalves,6,2,4
VitoriaDMP,4,0,20
erickkn,4,0,28
gabrielsantosrv,6,1,5
VBS,5,0,9
joaoguilhermeas,4,1,29
lumagabinov,5,0,15
maviles,4,0,21
pedromorelli96,4,1,23
vitormosso,2,1,42
Fatayer,6,0,3
AlvaroMarques,0,1,46
beatrizazanha,5,0,18
Ieremies,6,1,2
Zanez,4,1,22
luizgustavo09,5,0,16
henriquesimoes,4,1,26
mc521721_2019,4,0,31
