user,accepteds,failed,rank
LuizAndia,4,0,25
andregoncalves,4,1,23
FelipeEmos,2,1,37
ggavena,4,2,17
wmartins,4,0,31
FerParedes,1,2,46
dominguilherme,2,1,39
b164923,4,0,27
krautz,4,0,28
AnaClaraZS,5,0,8
brunoaf,1,2,43
guilhermetiaki,4,1,16
danieloliveira,2,1,40
hboschirolli,4,0,29
Leandroafm21,4,0,22
gfrancioli,4,0,32
gabrielmsato,1,2,45
giocoutinho26,2,0,38
mihmosa,3,1,36
luizguilherme,3,1,34
Gustavo_Salibi,5,0,7
joaopm,5,0,11
mjoaquim,3,1,35
barney_san,4,2,15
turing_burro,4,1,18
tiagodepalves,5,0,10
VitoriaDMP,3,0,33
erickkn,4,0,30
gabrielsantosrv,5,1,9
VBS,5,0,4
joaoguilhermeas,4,1,13
lumagabinov,4,0,26
maviles,4,0,21
pedromorelli96,4,0,19
vitormosso,4,0,24
Fatayer,5,0,3
AlvaroMarques,5,0,5
beatrizazanha,4,0,20
Fingerman,5,0,6
Ieremies,6,0,1
Zanez,4,2,14
luizgustavo09,5,0,2
pupo,4,0,12
henriquesimoes,1,1,41
surveyor_5,1,1,42
mc521721_2019,1,0,44
