user,accepteds,failed,rank
andregoncalves,0,1,27
FelipeEmos,2,0,14
ggavena,1,0,24
FerParedes,2,0,18
dominguilherme,1,0,25
b164923,2,1,19
krautz,3,2,6
gfrancioli,0,1,30
giocoutinho26,1,2,23
mihmosa,1,2,20
Gustavo_Salibi,3,3,11
natrodrigues,0,1,26
victormaruca,0,1,29
MarcoAurelio,3,1,7
mjoaquim,1,3,21
barney_san,3,0,10
turing_burro,3,0,5
gabrielsantosrv,4,0,4
VBS,2,1,15
joaoguilhermeas,3,1,12
JoaoFlores,3,0,9
pedromorelli96,4,1,3
beatrizazanha,2,0,16
Fingerman,3,2,13
Ieremies,2,3,17
Zanez,0,1,28
luizgustavo09,4,1,2
ErickMonteiro,12,0,1
pupo,3,1,8
mc521721_2019,1,0,22
