user,accepteds,failed,rank
LuizAndia,5,1,10
FelipeEmos,3,2,20
ggavena,6,0,3
FerParedes,2,1,22
dominguilherme,1,0,26
guilhermehhs,5,0,13
anarequena,1,0,23
b164923,4,2,14
AnaClaraZS,6,1,2
danieloliveira,4,1,17
Leandroafm21,4,0,15
mihmosa,4,1,16
Gustavo_Salibi,1,2,24
mjoaquim,4,1,19
barney_san,1,0,25
turing_burro,5,1,12
tiagodepalves,5,1,8
gabrielsantosrv,5,1,9
VBS,6,0,5
JoaoFlores,2,1,21
Fatayer,6,0,4
AlvaroMarques,4,1,18
Ieremies,5,2,11
Zanez,6,0,6
luizgustavo09,6,0,7
ErickMonteiro,10,0,1
