user,accepteds,failed,rank
andregoncalves,0,1,22
dominguilherme,2,0,6
anarequena,1,2,16
AnaClaraZS,0,1,21
guilhermetiaki,2,1,9
ericoimf,0,1,26
Leandroafm21,0,1,24
gfrancioli,2,0,13
gabrielmsato,1,0,14
giocoutinho26,2,0,7
mihmosa,1,0,19
Gustavo_Salibi,3,0,1
joaopm,3,0,2
mjoaquim,2,0,4
VitoriaDMP,1,2,17
joaoguilhermeas,2,0,10
JoaoFlores,2,2,5
lumagabinov,0,3,25
vitormosso,0,1,23
Fatayer,3,0,3
AlvaroMarques,0,1,27
Ieremies,2,1,8
Zanez,2,0,12
luizgustavo09,1,3,18
ErickMonteiro,2,1,11
pupo,1,0,15
henriquesimoes,1,1,20
