user,accepteds,failed,rank
LuizAndia,5,2,2
andregoncalves,1,2,45
FelipeEmos,1,2,47
ggavena,1,1,46
wmartins,4,2,16
dominguilherme,5,0,8
anarequena,3,0,29
b164923,4,0,14
krautz,3,0,36
AnaClaraZS,3,0,33
guilhermetiaki,4,2,10
danieloliveira,2,0,41
hboschirolli,3,0,37
Leandroafm21,3,0,38
gfrancioli,3,0,39
gabrielmsato,4,0,20
giocoutinho26,2,0,44
mihmosa,4,0,13
luizguilherme,3,1,27
Gustavo_Salibi,5,2,5
natrodrigues,5,0,6
joaopm,4,1,19
victormaruca,3,2,25
MarcoAurelio,4,0,12
mjoaquim,4,0,18
barney_san,4,2,9
turing_burro,3,2,24
VitoriaDMP,3,1,26
erickkn,2,0,43
gabrielsantosrv,4,1,11
VBS,3,1,30
joaoguilhermeas,3,0,31
JoaoFlores,4,0,17
lumagabinov,4,0,15
maviles,5,0,3
pedromorelli96,3,0,23
vitormosso,3,1,35
Fatayer,5,0,4
beatrizazanha,3,0,34
Ieremies,5,1,7
Zanez,3,0,32
luizgustavo09,6,1,1
Binario,4,0,21
ErickMonteiro,4,1,22
pupo,3,1,28
LadyZizi,3,0,40
henriquesimoes,2,2,42
mc521721_2019,1,1,48
