user,accepteds,failed,rank
andregoncalves,2,1,19
ggavena,1,1,24
dominguilherme,2,0,21
guilhermehhs,1,1,27
b164923,3,0,7
AnaClaraZS,2,1,18
guilhermetiaki,3,2,6
ericoimf,1,1,26
gfrancioli,2,0,22
gabrielmsato,3,0,11
mihmosa,3,1,4
Gustavo_Salibi,4,1,3
victormaruca,2,2,16
MarcoAurelio,2,1,15
mjoaquim,3,0,8
barney_san,4,2,2
VitoriaDMP,2,2,12
gabrielsantosrv,2,1,14
joaoguilhermeas,2,1,20
lumagabinov,1,0,25
Fatayer,3,0,10
AlvaroMarques,3,0,9
beatrizazanha,1,2,23
Ieremies,3,2,5
luizgustavo09,2,2,13
ErickMonteiro,7,1,1
pupo,2,1,17
