user,accepteds,failed,rank
LuizAndia,7,1,4
andregoncalves,3,0,35
FelipeEmos,1,0,47
wmartins,4,2,24
FerParedes,2,0,44
guilhermehhs,4,1,26
anarequena,2,0,39
b164923,5,0,19
krautz,5,0,16
AnaClaraZS,7,1,3
brunoaf,2,2,45
guilhermetiaki,4,0,21
danieloliveira,2,0,37
hboschirolli,5,0,15
Leandroafm21,4,0,27
gfrancioli,2,0,42
giocoutinho26,2,0,41
mihmosa,3,2,32
luizguilherme,4,0,23
Gustavo_Salibi,5,1,18
joaopm,7,0,1
victormaruca,1,2,46
MarcoAurelio,3,0,34
mjoaquim,2,0,40
barney_san,5,3,14
turing_burro,6,1,10
VitoriaDMP,4,0,25
erickkn,3,0,36
gabrielsantosrv,6,1,8
VBS,3,0,31
joaoguilhermeas,6,0,13
JoaoFlores,3,1,30
lumagabinov,4,0,22
maviles,6,0,9
pedromorelli96,6,0,11
vitormosso,3,0,33
Fatayer,6,0,6
AlvaroMarques,2,0,38
beatrizazanha,4,0,28
Fingerman,7,0,2
Ieremies,6,1,5
Zanez,6,0,12
luizgustavo09,6,0,7
henriquesimoes,5,0,17
pupo,4,0,20
ErickMonteiro,4,2,29
LadyZizi,2,0,43
