user,accepteds,failed,rank
LuizAndia,2,2,31
andregoncalves,2,1,30
FelipeEmos,4,0,11
wmartins,4,0,17
FerParedes,1,1,40
dominguilherme,2,1,27
guilhermehhs,0,1,54
anarequena,2,0,35
b164923,1,1,43
krautz,5,1,7
AnaClaraZS,4,0,13
guilhermetiaki,4,0,16
danieloliveira,3,0,22
hboschirolli,6,0,4
Leandroafm21,3,1,23
gfrancioli,1,1,49
gabrielmsato,1,2,44
giocoutinho26,2,0,38
mihmosa,1,2,42
luizguilherme,1,1,50
Gustavo_Salibi,2,1,33
natrodrigues,2,1,29
joaopm,2,1,32
victormaruca,0,2,55
MarcoAurelio,1,1,48
mjoaquim,2,0,34
barney_san,2,0,28
turing_burro,1,0,46
tiagodepalves,4,2,10
VitoriaDMP,3,0,26
erickkn,1,0,41
gabrielsantosrv,3,0,24
VBS,3,0,21
joaoguilhermeas,3,0,25
JoaoFlores,1,0,52
lumagabinov,2,0,36
maviles,4,0,15
pedromorelli96,4,0,14
vitormosso,2,0,37
Fatayer,6,0,6
AlvaroMarques,4,1,12
beatrizazanha,3,0,20
Fingerman,6,1,5
Ieremies,8,0,2
Zanez,4,0,18
luizgustavo09,7,0,3
giuliano_sider,8,0,1
pupo,5,0,8
ErickMonteiro,5,1,9
henriquesimoes,3,0,19
MatheusS,1,0,39
surveyor_5,1,0,45
yuriloliveira,1,1,47
gabiaresende,1,0,51
vitorandrietta,0,2,53
marils,0,3,56
