user,accepteds,failed,rank
andregoncalves,2,0,30
dominguilherme,3,1,14
anarequena,0,1,41
b164923,2,0,27
krautz,3,2,5
AnaClaraZS,4,1,3
guilhermetiaki,2,1,17
Leandroafm21,3,1,12
giocoutinho26,2,1,36
mihmosa,2,1,24
luizguilherme,2,0,28
natrodrigues,2,0,21
joaopm,4,0,4
victormaruca,2,2,20
MarcoAurelio,0,1,40
mjoaquim,3,1,8
barney_san,4,0,2
turing_burro,2,0,32
tiagodepalves,2,1,35
VitoriaDMP,2,1,18
VBS,3,1,13
joaoguilhermeas,2,1,31
lumagabinov,3,0,16
maviles,3,0,11
pedromorelli96,3,1,9
vitormosso,2,1,23
Fatayer,3,1,6
beatrizazanha,2,1,34
Fingerman,3,3,10
Ieremies,4,0,1
Zanez,2,0,26
pupo,3,0,7
rafaelfp,3,2,15
MatheusS,2,0,19
Luiz_fer,2,0,22
LadyZizi,2,1,25
yuriloliveira,2,0,29
pealan,2,0,33
naner,1,0,37
viniciuspedroso,1,2,38
akariueda,1,1,39
gabiaresende,0,1,42
