user,accepteds,failed,rank
LuizAndia,3,1,23
andregoncalves,3,1,17
wmartins,2,2,26
FerParedes,3,0,19
dominguilherme,2,1,36
anarequena,3,0,20
b164923,2,0,25
krautz,2,1,34
AnaClaraZS,6,0,5
guilhermetiaki,4,0,13
danieloliveira,1,2,40
hboschirolli,2,1,30
Leandroafm21,2,0,38
gfrancioli,2,0,39
gabrielmsato,3,0,21
giocoutinho26,2,2,32
mihmosa,4,0,16
luizguilherme,2,0,37
Gustavo_Salibi,5,0,10
joaopm,7,1,1
MarcoAurelio,3,0,22
mjoaquim,3,0,24
barney_san,2,0,28
tiagodepalves,5,1,8
VitoriaDMP,4,0,15
erickkn,2,0,31
gabrielsantosrv,6,1,4
VBS,2,0,33
joaoguilhermeas,4,0,14
lumagabinov,5,0,9
maviles,4,1,11
pedromorelli96,4,1,12
vitormosso,3,0,18
Fatayer,6,0,2
AlvaroMarques,5,0,7
Zanez,2,0,27
luizgustavo09,2,2,29
ErickMonteiro,6,1,3
pupo,5,0,6
davidafonsods,2,2,35
carlos_ecb,0,1,41
