user,accepteds,failed,rank
andregoncalves,1,0,24
FelipeEmos,7,1,10
wmartins,2,0,21
FerParedes,4,0,17
anarequena,6,0,11
b164923,3,0,19
AnaClaraZS,2,0,22
guilhermetiaki,7,1,9
Leandroafm21,4,0,18
giocoutinho26,5,0,15
Gustavo_Salibi,8,1,4
mjoaquim,5,0,14
barney_san,7,0,7
VitoriaDMP,7,1,6
gabrielsantosrv,5,0,16
joaoguilhermeas,7,1,5
JoaoFlores,1,1,25
pedromorelli96,3,0,20
Fatayer,6,0,13
Fingerman,7,1,8
Ieremies,2,1,23
luizgustavo09,9,0,3
ErickMonteiro,13,0,1
josecvm,12,1,2
pupo,6,2,12
